adcode,name,longitude,latitude
430800000000,张家界市,110.4855325,29.12281556
430700000000,常德市,111.7054522,29.03775
430900000000,益阳市,112.361516,28.55971118
430300000000,湘潭市,112.9504642,27.83570223
430200000000,株洲市,113.1404708,27.83356764
431300000000,娄底市,112.0015035,27.7032086
431200000000,怀化市,110.0085143,27.5751609
430500000000,邵阳市,111.4744329,27.24527027
430400000000,衡阳市,112.5784472,26.89957614
431100000000,永州市,111.6194551,26.42586412
431000000000,郴州市,113.0214605,25.77668327
433100000000,湘西土家族苗族自治州,109.7455766,28.3173691
510100000000,成都市,104.0727473,30.57899372
510800000000,广元市,105.8504232,32.44161631
511900000000,巴中市,106.7515853,31.87288859
510700000000,绵阳市,104.6855619,31.47366305
510600000000,德阳市,104.4044194,31.133115
511700000000,达州市,107.4745939,31.21430772
511300000000,南充市,106.1175026,30.84378251
510900000000,遂宁市,105.5994215,30.53909767
511600000000,广安市,106.6395527,30.46174611
512000000000,资阳市,104.6344353,30.13495656
511400000000,眉山市,103.8565633,30.08252612
511800000000,雅安市,103.0495426,30.01679255
511000000000,内江市,105.064588,29.58588654
511100000000,乐山市,103.7725376,29.55794072
510300000000,自贡市,104.7844488,29.34558492
510500000000,泸州市,105.4485241,28.8776683
511500000000,宜宾市,104.6494037,28.75800703
510400000000,攀枝花市,101.7255412,26.58803317
513200000000,阿坝藏族羌族自治州,102.2314155,31.90551158
513300000000,甘孜藏族自治州,101.9685467,30.05527884
513400000000,凉山彝族自治州,102.2735027,27.8877523
520100000000,贵阳市,106.6365768,26.65332482
520300000000,遵义市,107.037923,27.72832533
520600000000,铜仁市,109.1964389,27.73778646
520500000000,毕节市,105.2985888,27.29021508
520200000000,六盘水市,104.8375546,26.59883311
520400000000,安顺市,105.9544171,26.25925238
522600000000,黔东南苗族侗族自治州,107.9894462,26.58970297
522700000000,黔南布依族苗族自治州,107.5284027,26.2606162
522300000000,黔西南布依族苗族自治州,104.9124921,25.09396735
530100000000,昆明市,102.8394451,24.88627211
530600000000,昭通市,103.7235118,27.34408386
530700000000,丽江市,100.2324645,26.86065744
530300000000,曲靖市,103.8024348,25.49640693
530500000000,保山市,99.16801176,25.11785803
530400000000,玉溪市,102.5535603,24.35771094
530900000000,临沧市,100.0954404,23.89046856
530800000000,普洱市,100.9725698,22.83097919
532300000000,楚雄彝族自治州,101.5344125,25.05177357
532500000000,红河哈尼族彝族自治州,103.3815491,23.36999625
532600000000,文山壮族苗族自治州,104.222569,23.40599429
532800000000,西双版纳傣族自治州,100.8034468,22.01360125
532900000000,大理白族自治州,100.2745828,25.61212842
533100000000,德宏傣族景颇族自治州,98.59135936,24.4380107
533300000000,怒江傈僳族自治州,98.86328838,25.82370742
533400000000,迪庆藏族自治州,99.70952999,27.82518468
610100000000,西安市,108.9464656,34.34726882
610800000000,榆林市,109.741616,38.29088384
610600000000,延安市,109.5011837,36.65608966
610200000000,铜川市,108.9524042,34.90263708
610500000000,渭南市,109.5165896,34.50571552
610300000000,宝鸡市,107.2445754,34.36891564
610400000000,咸阳市,108.7154225,34.33547629
611000000000,商洛市,109.9244179,33.87863385
610700000000,汉中市,107.0294302,33.07379991
610900000000,安康市,109.0356011,32.69051277
620100000000,兰州市,103.8405212,36.06723469
620200000000,嘉峪关市,98.29620384,39.77796015
620900000000,酒泉市,98.50068522,39.73846908
620700000000,张掖市,100.4564115,38.93206601
620300000000,金昌市,102.1946057,38.52582009
620600000000,武威市,102.6445543,37.93437781
620400000000,白银市,104.1444508,36.55082533
621000000000,庆阳市,107.6493857,35.71521598
620800000000,平凉市,106.6714423,35.54923205
621100000000,定西市,104.6324201,35.58683293
620500000000,天水市,105.7314167,34.58741188
621200000000,陇南市,104.9668643,33.37603216
622900000000,临夏回族自治州,103.2163906,35.60756218
623000000000,甘南藏族自治州,102.9175847,34.98913991
630100000000,西宁市,101.7844502,36.6233847
630200000000,海东市,102.4150356,36.48017021
632500000000,海南藏族自治州,100.6266211,36.29210248
632200000000,海北藏族自治州,100.9074343,36.96066282
632800000000,海西蒙古族藏族自治州,97.37629912,37.38275046
632300000000,黄南藏族自治州,102.0224283,35.52580459
632600000000,果洛藏族自治州,100.251592,34.47719387
632700000000,玉树藏族自治州,97.01318076,33.01097959
